"","system.index","X2023.10.12","X2023.10.17","X2023.10.25","X2023.10.29","X2023.11.05","X2023.11.10","X2023.11.17","X2023.11.18","X2023.11.22","X2023.11.29","X2023.12.04","X2023.12.11","X2023.12.16","X2023.12.23","X2023.12.24","X2023.12.28","X2024.01.04","X2024.01.05","X2024.01.09","X2024.01.16","X2024.01.17","X2024.01.21","X2024.01.28","X2024.01.29","X2024.02.02","X2024.02.09","X2024.02.10","X2024.02.14","X2024.02.21","X2024.02.22","X2024.02.26","X2024.03.04","X2024.03.05","X2024.03.09","X2024.03.16","X2024.03.17","X2024.03.21","X2024.03.28","X2024.03.29","X2024.04.02","X2024.04.09","X2024.04.21","X2024.05.04","X2024.05.08","X2024.05.16","X2024.05.20","X2024.05.27","X2024.06.01","X2024.07.03","X2024.07.27","id",".geo","X2024.08.03","X2024.08.10","X2024.08.17","X2024.08.24","X2024.08.31","X2024.09.07","X2024.09.14","X2024.09.21","X2024.09.28","X2024.10.05"
"1","1_gaza_dpm_20231012T154103_asc_00000000000000000000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"{""type"":""Polygon"",""coordinates"":[[[34.222206235445135,31.588918720304733],[34.232746339521846,31.588817451284896],[34.232865158940484,31.59783969871935],[34.222324050988455,31.597941024133476],[34.222206235445135,31.588918720304733]]]}",0,0,0,0,0,0,0,0,0,0
"2","1_gaza_dpm_20231012T154103_asc_00000000000000000001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"{""type"":""Polygon"",""coordinates"":[[[34.222206235445135,31.588918720304733],[34.22208850456766,31.579900944123363],[34.23262760475629,31.579799730976152],[34.232746339521846,31.588817451284896],[34.222206235445135,31.588918720304733]]]}",0,0,0,0,0,0,0,0,0,0
"3","1_gaza_dpm_20231012T154103_asc_00000000000000000002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"{""type"":""Polygon"",""coordinates"":[[[34.22208850456766,31.579900944123363],[34.221970773535645,31.570878667405204],[34.23250886983342,31.57077743361412],[34.23262760475629,31.579799730976152],[34.22208850456766,31.579900944123363]]]}",0,0,0,0,0,0,0,0,0,0
"4","1_gaza_dpm_20231012T154103_asc_00000000000000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"{""type"":""Polygon"",""coordinates"":[[[34.221970773535645,31.570878667405204],[34.2218532119907,31.561860817978346],[34.232390219564074,31.561759665488772],[34.23250886983342,31.57077743361412],[34.221970773535645,31.570878667405204]]]}",0,0,0,0,0,0,0,0,0,0
"5","1_gaza_dpm_20231012T154103_asc_00000000000000000004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"{""type"":""Polygon"",""coordinates"":[[[34.2218532119907,31.561860817978346],[34.22173556547078,31.552838494536577],[34.2322716539486,31.552737372101443],[34.232390219564074,31.561759665488772],[34.2218532119907,31.561860817978346]]]}",0,0,0,0,0,0,0,0,0,0
"6","1_gaza_dpm_20231012T154103_asc_00000000000000000005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"{""type"":""Polygon"",""coordinates"":[[[34.22173556547078,31.552838494536577],[34.22161800361757,31.543816174169155],[34.23215308817627,31.543715030617893],[34.2322716539486,31.552737372101443],[34.22173556547078,31.552838494536577]]]}",0,0,0,0,0,0,0,0,0,0
"7","1_gaza_dpm_20231012T154103_asc_00000000000000000006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"{""type"":""Polygon"",""coordinates"":[[[34.22161800361757,31.543816174169155],[34.22150061125255,31.53479828426345],[34.23203460705825,31.534697221545386],[34.23215308817627,31.543715030617893],[34.22161800361757,31.543816174169155]]]}",0,0,0,0,0,0,0,0,0,0
"8","1_gaza_dpm_20231012T154103_asc_00000000000000000007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"{""type"":""Polygon"",""coordinates"":[[[34.22150061125255,31.53479828426345],[34.22138313391267,31.5257759215243],[34.231916125783606,31.525674914137806],[34.23203460705825,31.534697221545386],[34.22150061125255,31.53479828426345]]]}",0,0,0,0,0,0,0,0,0,0
"9","1_gaza_dpm_20231012T154103_asc_00000000000000000008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"{""type"":""Polygon"",""coordinates"":[[[34.22138313391267,31.5257759215243],[34.22126582606164,31.51675799135243],[34.23179781397512,31.516657038774635],[34.231916125783606,31.525674914137806],[34.22138313391267,31.5257759215243]]]}",0,0,0,0,0,0,0,0,0,0
"10","1_gaza_dpm_20231012T154103_asc_00000000000000000009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"{""type"":""Polygon"",""coordinates"":[[[34.22126582606164,31.51675799135243],[34.22114843323574,31.507735589129965],[34.231679417198954,31.507634691587885],[34.23179781397512,31.516657038774635],[34.22126582606164,31.51675799135243]]]}",0,0,0,0,0,0,0,0,0,0
